ID,Code,Lesson,Structure,Pinyin,English Equivalent,复习,Example,Example Pinyin,Example Translation,URL
388,5.04.2,Lesson,顶,dǐng ,the top of,,请把手举过头顶。,qǐng bǎshǒu jǔ guòtóu dǐng。 ,Please raise your hand over (the top of) your head.,https://chinesezerotohero.teachable.com/courses/302461/lectures/5044307
389,5.04.2,Lesson,顶,dǐng ,to lift,,他能用头顶起20斤重的东西。,tā néng yòng tóudǐng qǐ20 jīn zhòng de dōngxi。 ,He can use his head to lift 20 pounds.,https://chinesezerotohero.teachable.com/courses/302461/lectures/5044307
390,5.04.2,Lesson,顶着,dǐng zhe ,against,,天气非常寒冷，子路顶着大雪往前走。,tiānqì fēicháng hánlěng， Zǐ Lù dǐng zhe Dàxuě wǎngqián zǒu。 ,"The weather is very cold, and Zilu was trudging ahead against heavy snow.",https://chinesezerotohero.teachable.com/courses/302461/lectures/5044307
391,5.04.3,Lesson,……得很/得不行/得不得了,…… dehěn/ dé bùxíng/ dé bùdéliǎo ,very/so/extremely,4.16.1 可……了,这个地方这么热闹，孩子们高兴得很/得不行/得不得了。,zhège dìfang zhème rènao， háizimen gāoxìng dehěn/ dé bùxíng/ dé bùdéliǎo。 ,"The place is so lively, the children are very/so/extremely happy.",https://chinesezerotohero.teachable.com/courses/302461/lectures/5044309
392,5.04.4,Lesson,反而,fǎn'ér ,actually (opposite to what one expects),4.17.1 倒,大城市的生活虽然很精彩，但一辈子生活在农村的父母反而会不适应。,dàchéngshì de shēnghuó suīrán hěn jīngcǎi， dàn yībèizi shēnghuó zài nóngcūn de fùmǔ fǎn'ér huìbùhuì shìyìng。 ,"Although the life in a big city is very exciting, [my] parents who have lived in rural areas for a lifetime will actually (opposite to what one expects) find themselves ill-adapted.",https://chinesezerotohero.teachable.com/courses/302461/lectures/5044308
393,5.05.1,Lesson,从而,cóng'ér ,consequently,4.14.4 于是,比赛前做好思想准备可以减少运动员的压力，从而取得比赛的成功。,bǐsài qián zuò hǎo sīxiǎng zhǔnbèi kěyǐ jiǎnshǎo yùndòngyuán de yālì， cóng'ér qǔdé bǐsài de chénggōng。 ,Preparing mentally before the game can reduce the stress on the athletes [and] consequently achieve the success of the game.,https://chinesezerotohero.teachable.com/courses/302461/lectures/5044263
394,5.05.2,Lesson,V 于 N,V yú N ,V in N,,这家公司成立于1997年。,zhè jiā gōngsī chénglì yú1997 nián。 ,This company was founded in 1997.,https://chinesezerotohero.teachable.com/courses/302461/lectures/5044264
395,5.05.2,Lesson,V 于 N,V yú N ,V to N,,李明没办法，只好求助于当经理的老同学王峰。,lǐ míng méibànfǎ， zhǐhǎo qiúzhù yú dāng jīnglǐ de lǎo tóngxué wáng fēng。 ,"Li Ming had no choice but to turn to Wang Feng (for help), the old classmate of the manager.",https://chinesezerotohero.teachable.com/courses/302461/lectures/5044264
396,5.05.2,Lesson,V 于 N,V yú N ,V from N,,他出身于知识分子家庭。,tā chūshēn yú zhīshifènzǐ jiātíng。 ,He came from an intellectual family.,https://chinesezerotohero.teachable.com/courses/302461/lectures/5044264
397,5.05.2,Lesson,A 于 N,A yú N ,A to N,,运动有助于健康。,yùndòng yǒuzhùyú jiànkāng。 ,Exercise is beneficial to health.,https://chinesezerotohero.teachable.com/courses/302461/lectures/5044264
398,5.05.2,Lesson,A 于 N,A yú N ,A from/than N,,水生动物不同于陆地动物。,shuǐshēng dòngwù bùtóng yú lùdì dòngwù。 ,Aquatic creatures are different from terrestrial ones.,https://chinesezerotohero.teachable.com/courses/302461/lectures/5044264
399,5.05.3,Lesson,V 为 (wéi) N,V wéi (wéi) N ,V into N,,压力也可以变为动力。,yālì yě kěyǐ biànwéi dònglì。 ,Stress can also be turned into strength.,https://chinesezerotohero.teachable.com/courses/302461/lectures/5044265
400,5.05.3,Lesson,V 为 (wéi) N,V wéi (wéi) N ,V as N,,在他看来，没有工作的生活就不能称其为生活。,zài tā kànlai， méiyǒu gōngzuò de shēnghuó jiù bùnéng chēng qí wéi shēnghuó。 ,"In his view, life without work cannot be called (as) life.",https://chinesezerotohero.teachable.com/courses/302461/lectures/5044265
401,5.05.4,Lesson,V 起来,V qilai ,V up,4.20.4 起来,地下水积蓄起来，越积越多。,dìxiàshuǐ jīxù qilai， yuè jī yuè duō。 ,The groundwater is store (up) and accumulates.,https://chinesezerotohero.teachable.com/courses/302461/lectures/5044266
402,5.05.4,Lesson,藏起来/躲起来,cáng qilai/ duǒ qilai ,V away,,刘丽知道自己做得不对，躲起来不敢见我。,Liú lì zhīdào zìjǐ zuò dé bùduì， duǒ qilai bù gǎn jiàn wǒ。 ,"Liu Li knows that she is doing something wrong, and she hides [herself] away and does not dare to see me.",https://chinesezerotohero.teachable.com/courses/302461/lectures/5044266
403,5.06.1,Lesson,替,tì ,to replace,,见了外公，请替我向他问好。,jiàn le wàigōng， qǐng tì wǒ xiàng tā wènhǎo。 ,"When you see my grandfather, please say hello to him (on my behalf).",https://chinesezerotohero.teachable.com/courses/302461/lectures/5044269
404,5.06.1,Lesson,替,tì ,on behalf of,,李阳要去留学了，我们都替他高兴。,lǐ yáng yào qù liúxué le， wǒmen dōu tì tā gāoxìng。 ,"Li Yang is going to study abroad, and we are all happy for him.",https://chinesezerotohero.teachable.com/courses/302461/lectures/5044269
405,5.06.2,Lesson,说不定,shuōbudìng ,uncertain,,这事儿经理已经同意了，只是出发的时间还说不定。,zhè shìr jīnglǐ yǐjīng tóngyì le， zhǐshì chūfā de shíjiān hái shuōbudìng。 ,"The manager has already agreed, but the time of departure is still uncertain.",https://chinesezerotohero.teachable.com/courses/302461/lectures/5044271
406,5.06.2,Lesson,说不定,shuōbudìng ,maybe,"4.7.1 估计4.13.1 大概/也许
4.16.2 恐怕",别随随便便就说放弃，说不定下次就成功了。,bié suí suíbiàn biàn jiù shuō fàngqì， shuōbudìng xiàcì jiù chénggōng le。 ,"Don't just give up so easily, maybe you will succeed next time.",https://chinesezerotohero.teachable.com/courses/302461/lectures/5044271
407,5.06.3,Lesson,N 似的,N shìde ,like N,,我不敢相信这是真的，好像做梦似的。,wǒ bù gǎn xiāngxìn zhè shì zhēn de， hǎoxiàng zuòmèng shìde。 ,"I can't believe this is true, it seems like a dream.",https://chinesezerotohero.teachable.com/courses/302461/lectures/5044272
408,5.06.3,Lesson,A 得什么似的,A dé shénme shìde ,so A (to an extreme),5.4.3 不得了,他背着重重的电脑包挤地铁，下班回到家累得什么似的。,tā bèi zhuózhòng zhòng de diànnǎo bāo jǐ dìtiě， xiàbān huídào jiā lèi dé shénme shìde。 ,"He squeezed into the [crowded] subway with [his] heavy computer bag, and he was so tired when he got home from work.",https://chinesezerotohero.teachable.com/courses/302461/lectures/5044272
409,5.06.4,Lesson,纷纷 V,fēnfēn V ,V in quick succession,,要下雨了， 路上的人纷纷往家里跑。,yào xiàyǔ le， lùshang de rén fēnfēn wǎng jiālǐ pǎo。 ,"It’s going to rain, and people on the road are running home (one after another in quick succession).",https://chinesezerotohero.teachable.com/courses/302461/lectures/5044270
410,5.07.1,Lesson,瞎,xiā ,blind,,一天， 他让士兵们去找一头大象和一些出生时眼晴就瞎了的人回来。,yī tiān， tā ràng shìbīng men qù zhǎo yītóu dàxiàng hé yīxiē chūshēng shí yǎn qíng jiù xiā le de rén huílai。 ,"One day, he asked the soldiers to find an elephant and some people who were blind when they were born.",https://chinesezerotohero.teachable.com/courses/302461/lectures/5044274
411,5.07.1,Lesson,瞎,xiā ,thoughtlessly,,他会想办法的，你就别替他瞎担心了。,tā huì xiǎng bànfǎ de， nǐ jiù bié tì tā xiā dānxīn le。 ,"He will find a way, you don't (thoughtlessly) worry about him.",https://chinesezerotohero.teachable.com/courses/302461/lectures/5044274
412,5.07.2,Lesson,分别,fēnbié ,to separate,,分别是暂时的，我们以后一定会再见。,fēnbié shì zànshí de， wǒmen yǐhòu yīdìng huì zàijiàn。 ,The separation is temporary. We will definitely see each other again in the future.,https://chinesezerotohero.teachable.com/courses/302461/lectures/5044277
413,5.07.2,Lesson,分别,fēnbié ,difference,,我不知道这两种做法有什么分别。,wǒ bù zhīdào zhè liǎng zhǒng zuòfǎ yǒu shénme fēnbié。 ,I don't know the difference between the two approaches.,https://chinesezerotohero.teachable.com/courses/302461/lectures/5044277
414,5.07.2,Lesson,分别,fēnbié ,separately,第3课生词 “各自”,我分别找两个人打听了这件事，他们的说法都是一样的。,wǒ fēnbié zhǎo liǎng gèrén dǎting le zhè jiàn shì， tāmen de shuōfa dōu shì yīyàng de。 ,"I asked two people (separately) to ask about this, and they all said the same thing.",https://chinesezerotohero.teachable.com/courses/302461/lectures/5044277
415,5.07.2,Lesson,分别,fēnbié ,respectively,,砂岩和砾岩分别是砂和砾石固结的产物。,shāyán hé lìyán fēnbié shì shā hé lìshí gù jié de chǎnwù。 ,"Sandstone and conglomerate are the consolidated equivalent of sand and gravel, respectively.",https://chinesezerotohero.teachable.com/courses/302461/lectures/5044277
416,5.07.3,Lesson,根,gēn ,(measure word),,摸到尾巴的盲人说大象像一根绳子。,mō dào wěiba de mángrén shuō dàxiàng xiàng yī gēn shéngzi。 ,The blind man who touched the tail said that the elephant is like a rope.,https://chinesezerotohero.teachable.com/courses/302461/lectures/5044275
417,5.07.3,Lesson,根,gēn ,root,,这棵树的根又粗又长。,zhè kē shù de gēn yòu cū yòu cháng。 ,The root of this tree is thick and long.,https://chinesezerotohero.teachable.com/courses/302461/lectures/5044275
418,5.07.4,Lesson,便,biàn ,then,,楼上新买了一架钢琴，我们家便多了一些不安静。,lóushàng xīn mǎi le yī jià gāngqín， wǒmen jiā biàn duō le yīxiē bù ānjìng。 ,"A new piano was bought upstairs, and then there were more noise (lit. unquiet) [heard] in our home.",https://chinesezerotohero.teachable.com/courses/302461/lectures/5044276
419,5.08.1,Lesson,倒/反倒,dǎo/ fǎndào ,contrary to logic,"4.17.1 倒
4.2.4 却",少年不解地问：“怎么勇敢反倒成为缺点了？”,shàonián bùjiě dì wèn：“ zěnme yǒnggǎn fǎndào chéngwéi quēdiǎn le？” ,"Puzzled, the teenager asked: ""How is it that bravery is a fault now (which is contrary to logic)?”",https://chinesezerotohero.teachable.com/courses/302461/lectures/5044279
420,5.08.1,Lesson,倒,dǎo ,despite all,,质量倒是挺好，就是价格太贵了。,zhìliàng dàoshi tǐnghǎo， jiùshì jiàgé tài guì le。 ,"(Despite all) the quality is (actually) pretty good, it’s just that the price is too expensive.",https://chinesezerotohero.teachable.com/courses/302461/lectures/5044279
421,5.08.1,Lesson,倒,dǎo ,for crying out loud,,你倒是说说看，这件事你不负责谁负责？,nǐ dàoshi shuōshuo kàn， zhè jiàn shì nǐ bù fùzé shéi fùzé？ ,"Now you tell us, for crying out loud, if you’re not responsible for this, then who is?",https://chinesezerotohero.teachable.com/courses/302461/lectures/5044279
422,5.08.2,Lesson,V 来 V 去,V lái V qù ,V around,,小狗追着自己的尾巴， 在草地上跑来跑去。,xiǎogǒu zhuī zhe zìjǐ de wěiba， zài cǎo dìshang pǎo lái pǎo qù。 ,The dog chased his tail and ran around on the grass.,https://chinesezerotohero.teachable.com/courses/302461/lectures/5044280
423,5.08.3,Lesson,要不/不然/要不然,yàobù/ bùrán/ yàobùrán ,otherwise,4.11.2 否则,还好碰见你了，要不/不然/要不然我今天肯定要迟到了。,háihǎo pèngjiàn nǐ le， yàobù/ bùrán/ yàobùrán wǒ jīntiān kěndìng yào chí dàoliǎo。 ,"Fortunately, I ran into you, otherwise I must have been late today.",https://chinesezerotohero.teachable.com/courses/302461/lectures/5044281
424,5.08.3,Lesson,要不/不然/要不然,yàobù/ bùrán/ yàobùrán ,why not try,,今天太晚了，要不/不然/要不然你明天再走吧。,jīntiān tài wǎn le， yàobù/ bùrán/ yàobùrán nǐ míngtiān zài zǒu ba。 ,"It’s too late today, why don’t (you) leave tomorrow instead?",https://chinesezerotohero.teachable.com/courses/302461/lectures/5044281
425,5.08.4,Lesson,彼此 V,bǐcǐ V ,each other,HSK4第1课课文5生词“互相”,好朋友应该彼此帮助。,hǎopéngyou yīnggāi bǐcǐ bāngzhù。 ,Good friends should help each other.,https://chinesezerotohero.teachable.com/courses/302461/lectures/5044282
426,5.08.4,Lesson,彼此,bǐcǐ ,(pronoun for 2 people),,我们彼此的爱好相同。,wǒmen bǐcǐ de àihào xiāngtóng。 ,We (us two) have the same hobbies.,https://chinesezerotohero.teachable.com/courses/302461/lectures/5044282
427,5.08.4,Lesson,彼此彼此,bǐcǐbǐcǐ ,about the same,,咱们俩彼此彼此， 我画得比你好不了多少。,zánmen liǎ bǐcǐbǐcǐ， wǒ huà dé bǐ nǐhǎo bùliǎo duōshao。 ,"We (the two of us) are pretty much the same, I can't paint much better than you.",https://chinesezerotohero.teachable.com/courses/302461/lectures/5044282
428,5.09.1,Lesson,算,suàn ,counts as,5.5.3 为 (wéi),这钱就算我借给你的，将来你有了的时候再还我。,zhè qián jiùsuàn wǒ jiègěi nǐ de， jiānglái nǐ yǒule de shíhou zài hái wǒ。 ,"Let’s just say that the money is loaned to you, you can pay me back when you have [more money].",https://chinesezerotohero.teachable.com/courses/302461/lectures/5044298
429,5.09.1,Lesson,V 了/掉 算了,V le/ diào suànle ,might as well V,,不就是一个空瓶子吗？扔掉算了。,bù jiùshì yī gè kōng píngzi ma？ rēngdiào suànle。 ,Isn't it just an empty bottle? Might as well throw it away.,https://chinesezerotohero.teachable.com/courses/302461/lectures/5044298
430,5.09.2,Lesson,作为 N,zuòwéi N ,as N,,作为大作家、大学问家，鲁迅对吃很讲究。,zuòwéi dà zuòjiā、 dàxué wèn jiā， Lǔ Xùn duì chī hěn jiǎngjiu。 ,"As a great writer and a great intellectual, Lu Xun is very particular about eating.",https://chinesezerotohero.teachable.com/courses/302461/lectures/5044299
431,5.09.3,Lesson,曾经,céngjīng ,once,,孔子曾经带着学生周游各国14年，传播他的思想。,Kǒngzǐ céngjīng dài zhe xuésheng zhōuyóu gèguó14 nián， chuánbō tā de sīxiǎng。 ,"Confucius once took students around the country for 14 years, spreading his thoughts.",https://chinesezerotohero.teachable.com/courses/302461/lectures/5044300
432,5.10.1,Lesson,毕竟,bìjìng ,after all ,,虽然我们遇到了很多困难，但毕竟完成了任务。,suīrán wǒmen yù dàoliǎo hěn duō kùnnan， dàn bìjìng wánchéng le rènwu。 ,"Although we have encountered a lot of difficulties, we have completed the task after all.",https://chinesezerotohero.teachable.com/courses/302482/lectures/5157349
433,5.10.2,Lesson,逐渐,zhújiàn ,gradually,,食物越来越少，老人不得不逐渐限制猴子的食量。,shíwù yuèláiyuè shǎo， lǎorén bùdébù zhújiàn xiànzhì hóuzi de shíliàng。 ,"With less and less food, the elderly have to gradually limit the amount of food they eat.",https://chinesezerotohero.teachable.com/courses/302482/lectures/5157347
434,5.10.3,Lesson,或许,huòxǔ ,maybe,4.13.1 大概，也许,虽然以前她不支持你，但或许这次会有变化。,suīrán yǐqián tā bù zhīchí nǐ， dàn huòxǔ zhè cì huì yǒu biànhuà。 ,"Although she did not support you before, maybe this time things will change.",https://chinesezerotohero.teachable.com/courses/302482/lectures/5157348
435,5.11.1,Lesson,V 过来,V guòlái ,V and recover,,过了半天，脑子才清醒过来。,guò le bàntiān， nǎozi cái qīngxǐng guòlái。 ,"My head cleared up only after a long time, ",https://chinesezerotohero.teachable.com/courses/302482/lectures/5157446
436,5.11.1,Lesson,V 得过来 / V 不过来,V dé guòlái / V bùguò lái ,can finish V / cannot finish V,,天上的星星那么多，谁数得过来呀？,tiānshàng de xīngxing nàme duō， shéi shǔ dé guòlái ya？ ,"There are so many stars in the sky, who can count them (out)?",https://chinesezerotohero.teachable.com/courses/302482/lectures/5157446
437,5.11.2,Lesson,所,suǒ ,(measure word for institutions),,他来自北京的一所大学。,tā láizì Běijīng de yī suǒ dàxué。 ,He is from a university in Beijing.,https://chinesezerotohero.teachable.com/courses/302482/lectures/5157448
438,5.11.2,Lesson,S + (所) + V + 的,S + ( suǒ) + V + de ,what S V,,山水画(所)表现的是人与自然的关系。,shānshuǐhuà( suǒ) biǎoxiàn de shì rén yǔ zìrán de guānxi。 ,What the landscape painting shows is the relationship between man and nature.,https://chinesezerotohero.teachable.com/courses/302482/lectures/5157448
439,5.11.2,Lesson,有所 V,yǒusuǒ V ,has/have V’ed ,,随着年龄的增大，女性的职场幸福感有所提高。,suízhe niánlíng de zēngdà， nǚxìng de zhíchǎng xìngfú gǎn yǒusuǒ tígāo。 ,"As [their] age increases, women’s happiness at work has increased.",https://chinesezerotohero.teachable.com/courses/302482/lectures/5157448
440,5.11.2,Lesson,无所 V,wú suǒ V ,have nothing to V,,你要是坚持真理就可以无所畏惧。,nǐ yàoshi jiānchí zhēnlǐ jiù kěyǐ wú suǒ wèijù。 ,"If you stick to the truth, you've nothing to fear.",https://chinesezerotohero.teachable.com/courses/302482/lectures/5157448
441,5.11.3,Lesson,与 N 相当,yǔ N xiāngdāng ,equivalent to N,,开车打电话的人的反应速度与醉酒者相当。,kāichē dǎdiànhuà de rén de fǎnyìng sùdù yǔ zuìjiǔ zhě xiāngdāng。 ,The reaction speed of the person who calls while driving is equivalent to a drunk.,https://chinesezerotohero.teachable.com/courses/302482/lectures/5157447
442,5.11.3,Lesson,相当于 N,xiāngdāngyú N ,equivalent to N,,这种鸟一天所食的害虫相当于自己的体重。,zhèzhǒng niǎo yī tiān suǒ shí de hàichóng xiāngdāngyú zìjǐ de tǐzhòng。 ,The pests that this bird eats a day are equivalent to its own weight.,https://chinesezerotohero.teachable.com/courses/302482/lectures/5157447
443,5.11.3,Lesson,相当,xiāngdāng ,quite,,菜的味道好极了，服务也周到，我相当满意。,cài de wèidao hǎo jíle， fúwù yě zhōudào， wǒ xiāngdāng mǎnyì。 ,"The dish is very delicious, the service is also thoughtful, I am quite satisfied.",https://chinesezerotohero.teachable.com/courses/302482/lectures/5157447
444,5.11.3,Lesson,相当,xiāngdāng ,considerable,,相当一部分人会以收入多少作为幸福的标准。,xiāngdāng yībùfèn rén huì yǐ shōurù duōshao zuòwéi xìngfú de biāozhǔn。 ,A considerable number of people will regard their income as a standard of happiness.,https://chinesezerotohero.teachable.com/courses/302482/lectures/5157447
445,5.11.4,Lesson,数 (shǔ),shǔ (shǔ) ,to count,,我大概数了一下，车上有32个学生。,wǒ dàgài shǔ le yīxià， chē shàng yǒu32 gè xuésheng。 ,"I roughly counted it, there are 32 students in the vehicle.",https://chinesezerotohero.teachable.com/courses/302482/lectures/5157449
446,5.11.4,Lesson,数 (shǔ),shǔ (shǔ) ,to be reckoned as,,要说我们班跑得最快的，那就数李阳了。,yàoshuō wǒmen bān pǎo dé zuì kuài de， nà jiù shǔ lǐ yáng le。 ,"If we were to discuss who our class runs the fastest, then it’s no other than Li Yang.",https://chinesezerotohero.teachable.com/courses/302482/lectures/5157449
447,5.11.4,Lesson,数 (shù),shǔ (shù) ,several,,这里夏季的雷阵雨一般可持续数小时或者更久的时间。,zhèlǐ xiàjì de léizhènyǔ yībān kěchíxù shùxiǎoshí huòzhě gèng jiǔ de shíjiān。 ,The thunderstorms in summer here generally last for several hours or longer.,https://chinesezerotohero.teachable.com/courses/302482/lectures/5157449
448,5.12.1,Lesson,以及,yǐjí ,and,,学校的领导、教师以及一些学生代表观看了演出。,xuéxiào de lǐngdǎo、 jiàoshī yǐjí yīxiē xuésheng dàibiǎo guānkàn le yǎnchū。 ,"School leaders, teachers, and some student representatives watched the show.",https://chinesezerotohero.teachable.com/courses/302482/lectures/5157510
449,5.12.2,Lesson,程度,chéngdù ,degree,,问题已经发展到了十分严重的程度。,wèntí yǐjīng fāzhǎn dàoliǎo shífēn yánzhòng de chéngdù。 ,The problem has grown to a very serious degree.,https://chinesezerotohero.teachable.com/courses/302482/lectures/5157511
450,5.13.1,Lesson,(更)何况,( gèng) hékuàng ,let alone,,连运动员都不满意，更何况看比赛的球迷呢？,lián yùndòngyuán dōu bùmǎnyì， gèng hékuàng kàn bǐsài de qiúmí ne？ ,"Even the athletes are not satisfied, let alone the fans watching the game?",https://chinesezerotohero.teachable.com/courses/302482/lectures/5157484
451,5.13.2,Lesson,何必,hébì ,What for? Why do you have to…?,,你何必亲自送一趟呢？叫个快递不就行了？,nǐ hébì qīnzì sòng yī tàng ne？ jiào gè kuàidì bù jiù xíng le？ ,Why do you have to deliver it yourself? Calling a courier is not enough?,https://chinesezerotohero.teachable.com/courses/302482/lectures/5157485
452,5.13.3,Lesson,多亏,duōkuī ,thanks to,,多亏了他这句话，人们如梦初醒。,duōkuī le tā zhè jù huà， rénmen rú mèng chū xǐng。 ,"Thanks to his words, people wake up like a dream.",https://chinesezerotohero.teachable.com/courses/302482/lectures/5157486
453,5.14.1,Lesson,所谓,suǒwèi ,so-called,5.11.2 (所) verb 的,他所谓的“新闻”， 其实我们早就知道了！,tā suǒwèi de“ xīnwén”， qíshí wǒmen zǎojiù zhīdàole！ ,"His so-called ""news"", in fact, we already know!",https://chinesezerotohero.teachable.com/courses/302482/lectures/5157514
454,5.14.2,Lesson,N 则 V/A,N zé V/A ,whereas N V,,他高中毕业以后出国留学了，而我则一直留在国内。,tā gāozhōng bìyè yǐhòu chūguó liúxué le， ér wǒ zé yīzhí liú zài guónèi。 ,"After graduating from high school, he went abroad to study, whereas I stayed at home.",https://chinesezerotohero.teachable.com/courses/302482/lectures/5157515
455,5.14.2,Lesson,……则……,…… zé…… ,if… then…,,北京的冬天，有风则寒，无风则暖。,Běijīng de dōngtiān， yǒufēng zé hán， wú fēng zé nuǎn。 ,"Beijing in the winter, if it’s windy then it’s cold, and if not then it’s warm.",https://chinesezerotohero.teachable.com/courses/302482/lectures/5157515
456,5.14.2,Lesson,# 则,# zé ,(measure word for stories),,今天的报纸上有一则非常重要的新闻。,jīntiān de bàozhǐ shàng yǒu yīzé fēicháng zhòngyào de xīnwén。 ,There is a very important news in today's newspaper.,https://chinesezerotohero.teachable.com/courses/302482/lectures/5157515
457,5.14.3,Lesson,为 S 所 V,wéi S suǒ V ,is V’ed by S,5.11.2 所,有了科学，大自然就可以更好地为人所用。,yǒule kēxué， dàzìrán jiù kěyǐ gèng hǎo dì wéirén suǒ yòng。 ,"With science, nature can be better used by mankind.",https://chinesezerotohero.teachable.com/courses/302482/lectures/5157516
458,5.14.4,Lesson,V 起,V qǐ ,V up,"4.19.2 上
4.20.5 V起",拉起手，我们就是好朋友。,lā qǐ shǒu， wǒmen jiùshì hǎopéngyou。 ,"Joining (lit. grab/pull up) our hands, we are good friends.",https://chinesezerotohero.teachable.com/courses/302482/lectures/5157517
459,5.15.1,Lesson,V 得过,V dé guò ,can V and overcome,,跟别人谈论起军事来，没有人说得过他。,gēn biéren tánlùn qǐ jūnshì lái， méiyǒu rén shuō dé guò tā。 ,"Talking to others about military affairs, no one can win arguments (lit. talk) over him.",https://chinesezerotohero.teachable.com/courses/302482/lectures/5157519
460,5.15.2,Lesson,迟早,chízǎo ,sooner or later,,随着网络技术的发展，这些问题迟早都会得到解决。,suízhe wǎngluòjìshù de fāzhǎn， zhèxiē wèntí chízǎo dūhuì dédào jiějué。 ,"With the development of network technology, these problems will be solved sooner or later.",https://chinesezerotohero.teachable.com/courses/302482/lectures/5157520
461,5.15.3,Lesson,再三,zàisān ,repeatedly,,赵括的母亲再三阻止赵王任命儿子为大将。,Zhào Kuò de mǔqīn zàisān zǔzhǐ zhào wáng rènmìng érzi wéi dàjiàng。 ,Zhao Kuo’s mother repeatedly prevented Zhao Wang from appointing his son as a general.,https://chinesezerotohero.teachable.com/courses/302482/lectures/5157521
462,5.16.1,Lesson,即,jí ,that is,,“旦”是象形字，即太阳从地平线上升起。,“ dàn” shì xiàngxíngzì， jí tàiyang cóng dì píng xiànshàng shēngqǐ。 ,"“旦” is a pictograph, that is, the sun rising from the horizon.",https://chinesezerotohero.teachable.com/courses/302482/lectures/5157621
463,5.16.1,Lesson,……即……,…… jí…… ,if… then…,,不懂即问是他最大的优点，也是他成功的主要原因。,bù dǒng jí wèn shì tā zuì dà de yōudiǎn， yě shì tā chénggōng de zhǔyào yuányīn。 ,"If he doesn’t understand something, (then) he’ll just ask. This is his greatest strength, but also the main reason for his success.",https://chinesezerotohero.teachable.com/courses/302482/lectures/5157621
464,5.16.2,Lesson,个别 V,gèbié V ,"individually V, separately V",,他经常采取个别谈话的方式了解情况和解决问题。,tā jīngcháng cǎiqǔ gèbié tánhuà de fāngshì liǎojiě qíngkuàng hé jiějué wèntí。 ,He often uses individual conversations to understand the situation and solve problems.,https://chinesezerotohero.teachable.com/courses/302482/lectures/5157622
465,5.16.2,Lesson,个别 N,gèbié N ,only a few N (as an exception),,除了个别人以外，多数人体重的增加会从周六开始。,chúle gè biéren yǐwài， duōshù rén tǐzhòng de zēngjiā huì cóng Zhōuliù kāishǐ。 ,"Except for a few individual [persons], the weight gain of most people starts on Saturday.",https://chinesezerotohero.teachable.com/courses/302482/lectures/5157622
466,5.16.3,Lesson,非,fēi ,to insist on,,他非要离婚，我们谁拦也拦不住。,tā fēiyào líhūn， wǒmen shéi lán yě lán bùzhù。 ,"He insists on divorcing, and we can’t stop it.",https://chinesezerotohero.teachable.com/courses/302482/lectures/5157623
467,5.16.3,Lesson,非,fēi ,"not, un-",,出现非正常情况时请不要紧张。,chūxiàn fēizhèngcháng qíngkuàng shí qǐng bùyào jǐnzhāng。 ,Please do not be nervous when emergencies (lit. abnormal conditions) occur.,https://chinesezerotohero.teachable.com/courses/302482/lectures/5157623
468,5.16.3,Lesson,并非,bìngfēi ,not,,成功有时候并非想象中那么难。,chénggōng yǒushíhou bìngfēi xiǎngxiàng zhōng nàme nán。 ,Success is sometimes not as difficult as it might seem.,https://chinesezerotohero.teachable.com/courses/302482/lectures/5157623
469,5.17.1,Lesson,以,yǐ ,(see 4.14.2 “以”),4.14.2 以,-,- ,-,https://chinesezerotohero.teachable.com/courses/302482/lectures/5157641
470,5.17.2,Lesson,平常,píngcháng ,ordinary,,对小王来说，今天是一个不平常的日子。,duì xiǎo wáng láishuō， jīntiān shì yī gè bùpíngcháng de rìzi。 ,"For Xiao Wang, today is an extraordinary day.",https://chinesezerotohero.teachable.com/courses/302482/lectures/5157638
471,5.17.2,Lesson,平常,píngcháng ,usually,HSK4第2课课文1生词 “平时”,他平常总是来得很早，今天却迟到了。,tā píngcháng zǒngshì lái dehěn zǎo， jīntiān què chí dàoliǎo。 ,"He usually comes very early, but he is late today.",https://chinesezerotohero.teachable.com/courses/302482/lectures/5157638
472,5.17.3,Lesson,宁可,nìngkě ,would rather,,作为母亲，她宁可自已累一点儿，也不想委屈了孩子。,zuòwéi mǔqīn， tā nìngkě zì yǐ lèi yīdiǎnr， yě bùxiǎng wěiqu le háizi。 ,"As a mother, she would rather be tired of herself and would not want to wrong her child.",https://chinesezerotohero.teachable.com/courses/302482/lectures/5157639
473,5.18.1,Lesson,极其,jíqí ,extremely,"4.16.1 可……了
5.4.3 得很，得不行，得不得了",在中国，餐桌上放一把刀是极其少见的现象。,zài Zhōngguó， cānzhuō shàng fàng yī bǎ dāo shì jíqí shǎojiàn de xiànxiàng。 ,"In China, putting a knife on the table is an extremely rare phenomenon.",https://chinesezerotohero.teachable.com/courses/302482/lectures/5157799
474,5.18.2,Lesson,其余,qíyú ,the rest,,怎么只有你们两个人？其余的同学呢？,zěnme zhǐyǒu nǐmen liǎng gèrén？ qíyú de tóngxué ne？ ,How come you two people? What about the rest of the classmates?,https://chinesezerotohero.teachable.com/courses/302482/lectures/5157800
475,5.18.3,Lesson,(由此) 可见,( yóucǐ) kějiàn ,This shows that,,由此可见，成功是需要努力的。,yóucǐkějiàn， chénggōng shì xūyào nǔlì de。 ,This shows that success requires hard work.,https://chinesezerotohero.teachable.com/courses/302482/lectures/5157801
